Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
6.28319,1081.00,46.88,0.0915890,1.57417,0.0338516,1717.75,58.1487
6.28319,1084.00,47.02,0.0916012,1.57407,0.0338624,1717.41,58.1556
6.28319,1087.00,47.16,0.0915934,1.57370,0.0338551,1717.15,58.1343
6.28319,1090.00,47.31,0.0915909,1.57326,0.0338709,1716.72,58.1468
6.28319,1093.00,47.45,0.0916050,1.57321,0.0339146,1716.40,58.2110
6.28319,1096.00,47.60,0.0915886,1.57265,0.0339208,1716.09,58.2111
6.28319,1099.00,47.75,0.0915934,1.57239,0.0339502,1715.72,58.2490
6.28319,1102.00,47.90,0.0916032,1.57227,0.0339494,1715.40,58.2368
6.28319,1105.00,48.05,0.0915891,1.57170,0.0339624,1715.05,58.2471
6.28319,1108.00,48.20,0.0915993,1.57156,0.0339958,1714.70,58.2925
6.28319,1111.00,48.34,0.0915961,1.57124,0.0339968,1714.41,58.2846
6.28319,1114.00,48.49,0.0915918,1.57081,0.0340328,1714.02,58.3329
6.28319,1117.00,48.64,0.0916015,1.57068,0.0340530,1713.69,58.3564
6.28319,1120.00,48.80,0.0915916,1.57016,0.0340507,1713.31,58.3393
6.28319,1123.00,48.93,0.0915982,1.56991,0.0340563,1712.91,58.3355
6.28319,1126.00,49.08,0.0915956,1.56955,0.0340454,1712.58,58.3053
6.28319,1129.00,49.20,0.0915940,1.56919,0.0340806,1712.21,58.3529
6.28319,1132.00,49.34,0.0915989,1.56895,0.0340834,1711.86,58.3458
6.28319,1135.00,49.45,0.0915918,1.56849,0.0340963,1711.48,58.3551
6.28319,1138.00,49.56,0.0915984,1.56822,0.0341234,1711.07,58.3874
6.28319,1141.00,49.67,0.0915970,1.56787,0.0341402,1710.71,58.4041
6.28319,1144.00,49.76,0.0915948,1.56750,0.0341192,1710.34,58.3555
6.28319,1147.00,49.86,0.0915954,1.56710,0.0341618,1709.90,58.4133
6.28319,1150.00,49.95,0.0915991,1.56681,0.0341786,1709.52,58.4289
6.28319,1153.00,50.03,0.0915952,1.56642,0.0341881,1709.16,58.4328
6.28319,1156.00,50.15,0.0915952,1.56599,0.0342074,1708.69,58.4497
6.28319,1159.00,50.28,0.0915990,1.56561,0.0342205,1708.20,58.4555
6.28319,1162.00,50.43,0.0915979,1.56519,0.0342364,1707.76,58.4677
6.28319,1165.00,50.60,0.0915944,1.56469,0.0342508,1707.28,58.4757
6.28319,1168.00,50.80,0.0916015,1.56433,0.0342881,1706.76,58.5213
6.28319,1171.00,50.99,0.0915967,1.56381,0.0342873,1706.27,58.5035
6.28319,1174.00,51.24,0.0915980,1.56331,0.0343378,1705.70,58.5700
6.28319,1177.00,51.44,0.0916033,1.56307,0.0343233,1705.34,58.5330
6.28319,1180.00,51.57,0.0915887,1.56243,0.0342876,1704.92,58.4576
