Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
1256.64,1624.34,73.55,0.0138274,0.236095,0.0216804,1707.04,37.0093
1256.64,1626.67,73.82,0.0138562,0.236324,0.0216928,1705.15,36.9895
1256.64,1628.99,74.03,0.0138744,0.236477,0.0214215,1704.03,36.5028
1256.64,1631.32,73.81,0.0138805,0.236515,0.0216034,1703.54,36.8022
1256.64,1633.64,74.31,0.0139031,0.236695,0.0216039,1702.06,36.7712
1256.64,1635.97,74.13,0.013917,0.236814,0.021421,1701.22,36.4419
1256.64,1638.29,74.1,0.013922,0.236842,0.0214421,1700.81,36.469
1256.64,1640.62,74.63,0.0139497,0.237046,0.0215691,1698.89,36.6436
1256.64,1642.94,74.51,0.013976,0.237251,0.0215243,1697.17,36.5304
1256.64,1645.27,74.64,0.0139854,0.237342,0.0212546,1696.69,36.0625
1256.64,1647.59,74.91,0.0139977,0.237422,0.0215469,1695.75,36.5382
1256.64,1649.92,74.69,0.0140159,0.237577,0.0213719,1694.66,36.218
1256.64,1652.24,75.07,0.0140221,0.237627,0.0212929,1694.28,36.076
1256.64,1654.57,75.21,0.0140445,0.23779,0.0214906,1692.73,36.3778
1256.64,1656.89,75,0.0140614,0.237938,0.0212991,1691.76,36.0329
1256.64,1659.22,75.53,0.014066,0.237962,0.0215125,1691.36,36.3854
1256.64,1661.54,75.44,0.0140799,0.238068,0.0215221,1690.44,36.382
1256.64,1663.87,75.37,0.0140799,0.238086,0.0211713,1690.58,35.7918
1256.64,1666.19,75.96,0.0140973,0.238196,0.0215137,1689.26,36.3423
1256.64,1668.52,75.71,0.0141257,0.23842,0.0213427,1687.47,36.0151
1256.64,1670.84,75.9,0.0141407,0.238536,0.021289,1686.5,35.9038
1256.64,1673.17,76.3,0.0141663,0.238719,0.0216217,1684.73,36.4267
1256.64,1675.49,75.95,0.0141928,0.238941,0.0214266,1683.14,36.064
1256.64,1677.82,76.41,0.0142065,0.239042,0.0215006,1682.23,36.1689
1256.64,1680.14,76.56,0.0142419,0.239296,0.0218812,1679.82,36.7565
1256.64,1682.47,76.34,0.0142747,0.239573,0.0214837,1677.91,36.0478
1256.64,1684.79,76.92,0.0142923,0.239696,0.0217894,1676.7,36.5343
1256.64,1687.12,76.79,0.0143155,0.239869,0.021976,1675.18,36.8137
1256.64,1689.44,76.8,0.0143384,0.240058,0.0216586,1673.84,36.253
1256.64,1691.77,77.35,0.0143557,0.240177,0.0218712,1672.65,36.5829
1256.64,1694.09,77.03,0.0143766,0.240322,0.0220923,1671.22,36.921
1256.64,1696.42,77.32,0.0144043,0.240535,0.0221142,1669.47,36.9189
1256.64,1698.74,77.68,0.014428,0.24073,0.0219307,1668.09,36.5825
1256.64,1701.07,77.34,0.0144406,0.240843,0.0216106,1667.43,36.0342
1256.64,1703.39,77.85,0.0144599,0.240973,0.0218968,1666.09,36.4819
1256.64,1705.72,77.94,0.0144888,0.241183,0.0222174,1664.2,36.9743
1256.64,1708.04,77.74,0.0145109,0.241368,0.02198,1662.95,36.5515
1256.64,1710.37,78.35,0.0145081,0.241344,0.0219997,1663.11,36.588
1256.64,1712.69,78.16,0.0145154,0.241389,0.0221283,1662.58,36.79
1256.64,1715.02,78.22,0.0145446,0.241606,0.0221545,1660.73,36.7926
1256.64,1717.34,78.76,0.0145704,0.241809,0.0219342,1659.19,36.3929
1256.64,1719.67,78.41,0.0145903,0.24197,0.0216888,1658.04,35.9609
1256.64,1721.99,78.75,0.0146117,0.242121,0.0218767,1656.64,36.2418
1256.64,1724.32,79.08,0.0146495,0.2424,0.0221664,1654.25,36.6689
1256.64,1726.64,78.73,0.0146921,0.242739,0.0218608,1651.78,36.1092
1256.64,1728.97,79.28,0.0147152,0.24291,0.0219708,1650.35,36.2594
1256.64,1731.29,79.33,0.014737,0.243074,0.022128,1649.01,36.4892
1256.64,1733.62,79.13,0.0147618,0.24325,0.0223864,1647.42,36.8798
1256.64,1735.94,79.76,0.0147935,0.243493,0.0221977,1645.55,36.5274
1256.64,1738.27,79.54,0.0148281,0.243753,0.0220208,1643.46,36.1903
1256.64,1740.59,79.62,0.0148539,0.243945,0.0220826,1641.89,36.2571
1256.64,1742.92,80.17,0.014888,0.244192,0.0225251,1639.78,36.9361
1256.64,1745.24,79.77,0.0149212,0.244442,0.0226165,1637.8,37.0414
1256.64,1747.57,80.15,0.0149424,0.244608,0.0225319,1636.59,36.8755
1256.64,1749.89,80.47,0.0149609,0.244739,0.0225863,1635.44,36.9385
1256.64,1752.22,80.08,0.0149724,0.244837,0.0224451,1634.84,36.6941
1256.64,1754.54,80.69,0.0149962,0.245,0.0226877,1633.32,37.0564
1256.64,1756.87,80.7,0.0150271,0.245213,0.0230759,1631.37,37.6454
1256.64,1759.19,80.5,0.0150603,0.245451,0.0231961,1629.34,37.7945
1256.64,1761.52,81.17,0.0150902,0.245676,0.0229931,1627.63,37.4242
1256.64,1763.84,80.88,0.0151148,0.24586,0.0232377,1626.18,37.7886
1256.64,1766.17,81.01,0.0151494,0.246123,0.0230905,1624.21,37.5039
1256.64,1768.49,81.55,0.0151948,0.246462,0.0231999,1621.58,37.6204
1256.64,1770.82,81.1,0.0152339,0.246727,0.0236639,1619.14,38.3151
1256.64,1773.14,81.57,0.0152732,0.247034,0.0236047,1616.98,38.1685
1256.64,1775.47,81.81,0.0153012,0.247241,0.0235111,1615.39,37.9795
1256.64,1777.79,81.44,0.015334,0.247486,0.0232993,1613.53,37.594
1256.64,1780.12,82.11,0.0153721,0.247743,0.0236701,1611.19,38.137
1256.64,1782.44,82.01,0.0154016,0.247958,0.0239933,1609.49,38.617
1256.64,1784.77,81.89,0.0154372,0.248216,0.0241719,1607.44,38.8549
1256.64,1787.09,82.55,0.0154745,0.248496,0.0241341,1605.37,38.7442
1256.64,1789.42,82.17,0.0155078,0.248724,0.0243687,1603.39,39.0725
1256.64,1791.74,82.46,0.0155344,0.248934,0.0243488,1601.99,39.0066
1256.64,1794.07,82.86,0.0155599,0.249114,0.0243479,1600.53,38.9695
1256.64,1796.39,82.42,0.0156051,0.249436,0.0243626,1597.95,38.9302
1256.64,1798.72,83.04,0.0156376,0.24966,0.0246112,1596.06,39.2808
1256.64,1801.04,83.08,0.0156819,0.249979,0.0248076,1593.57,39.5327
1256.64,1803.37,82.83,0.0157292,0.25033,0.024832,1591.01,39.5078
1256.64,1805.69,83.52,0.0157641,0.250578,0.0250284,1589.05,39.7714
1256.64,1808.02,83.21,0.0158144,0.250933,0.0251577,1586.24,39.9061
1256.64,1810.34,83.39,0.0158608,0.251274,0.0252492,1583.75,39.9884
1256.64,1812.67,83.86,0.0158966,0.251521,0.0254897,1581.72,40.3174
1256.64,1814.99,83.4,0.0159305,0.251754,0.0255872,1579.81,40.4231
1256.64,1817.32,84,0.015981,0.25211,0.0257953,1577.03,40.68
1256.64,1819.64,84.05,0.0160304,0.252466,0.0260159,1574.38,40.959
1256.64,1821.97,83.82,0.0160753,0.252798,0.0258969,1572.06,40.7116
1256.64,1824.29,84.48,0.0161061,0.253002,0.0262834,1570.3,41.2728
1256.64,1826.62,84.15,0.0161419,0.253258,0.0263528,1568.4,41.3317
1256.64,1828.94,84.42,0.0161916,0.253601,0.0265837,1565.7,41.6222
1256.64,1831.27,84.78,0.0162361,0.253902,0.0268333,1563.25,41.9473
1256.64,1833.59,84.38,0.0162829,0.254221,0.0271794,1560.7,42.4189
1256.64,1835.92,85.03,0.0163432,0.254662,0.0271844,1557.64,42.3435
1256.64,1838.24,84.89,0.0164007,0.255065,0.0273351,1554.63,42.4958
1256.64,1840.57,84.9,0.0164557,0.255455,0.0273504,1551.81,42.4426
1256.64,1842.89,85.42,0.0165065,0.255803,0.0277687,1549.12,43.017
1256.64,1845.22,85.01,0.0165637,0.256185,0.0280931,1546.05,43.4335
1256.64,1847.54,85.55,0.0166162,0.256555,0.0282078,1543.39,43.5356
1256.64,1849.87,85.57,0.0166703,0.256932,0.0283263,1540.64,43.6406
1256.64,1852.19,85.45,0.0167279,0.257337,0.0284867,1537.74,43.8053
1256.64,1854.52,86.02,0.016771,0.257623,0.0289086,1535.48,44.3886
1256.64,1856.84,85.64,0.0168231,0.257974,0.029197,1532.8,44.753
1256.64,1859.17,86.11,0.0168856,0.258406,0.029425,1529.67,45.0106
1256.64,1861.49,86.19,0.0169385,0.25876,0.0296385,1526.97,45.2571
1256.64,1863.82,86.03,0.0170043,0.259214,0.0296856,1523.73,45.2328
1256.64,1866.14,86.6,0.0170672,0.25964,0.0301205,1520.59,45.801
1256.64,1868.47,86.24,0.0171256,0.260029,0.0305256,1517.65,46.3274
1256.64,1870.79,86.7,0.017196,0.260515,0.0307621,1514.25,46.5817
1256.64,1873.12,86.77,0.017261,0.260955,0.0309569,1511.1,46.7788
1256.64,1875.44,86.65,0.0173219,0.261355,0.031273,1508.07,47.1619
1256.64,1877.77,87.18,0.0173858,0.261776,0.031652,1504.93,47.6341
1256.64,1880.09,86.84,0.0174625,0.262301,0.0318649,1501.32,47.8394
1256.64,1882.42,87.32,0.017521,0.262693,0.0321855,1498.53,48.231
1256.64,1884.74,87.35,0.0175797,0.263079,0.0325128,1495.71,48.6296
1256.64,1887.07,87.31,0.0176544,0.263566,0.0329435,1492.11,49.1555
1256.64,1889.39,87.78,0.0177193,0.263996,0.0332282,1489.06,49.4787
1256.64,1891.72,87.56,0.0177931,0.26449,0.0334374,1485.65,49.6761
1256.64,1894.04,87.85,0.0178719,0.265009,0.0338209,1481.98,50.1218
1256.64,1896.37,87.55,0.0179335,0.265403,0.0343334,1479.06,50.7811
1256.64,1898.69,87.92,0.0180187,0.265955,0.0347853,1475.1,51.3118
1256.64,1901.02,88.11,0.0181021,0.266503,0.0351588,1471.31,51.7295
1256.64,1903.34,87.96,0.0181822,0.267027,0.0354669,1467.7,52.0546
1256.64,1905.67,88.48,0.018258,0.26751,0.0359964,1464.22,52.7067
1256.64,1907.99,88.22,0.0183263,0.267954,0.036411,1461.16,53.2025
1256.64,1910.32,88.7,0.0184118,0.268497,0.0368794,1457.3,53.7444
