Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
628.318,846.137,40.06,0.0102356,0.190873,0.0107846,1864.7,20.11
628.318,849.137,40.09,0.0102369,0.190889,0.0108094,1864.6,20.1552
628.318,852.137,40.12,0.0102359,0.190877,0.0108304,1864.67,20.1952
628.318,855.137,40.16,0.0102363,0.190883,0.0108076,1864.65,20.1524
628.318,858.137,40.21,0.0102367,0.190883,0.010752,1864.59,20.048
628.318,861.137,40.26,0.0102363,0.190884,0.0106871,1864.67,19.928
628.318,864.137,40.31,0.0102362,0.190885,0.0106687,1864.69,19.8938
628.318,867.137,40.38,0.0102366,0.190888,0.0106611,1864.65,19.8792
628.318,870.137,40.44,0.0102376,0.190892,0.0106552,1864.51,19.8667
628.318,873.137,40.51,0.0102386,0.190903,0.0106504,1864.44,19.857
628.318,876.137,40.58,0.0102401,0.190914,0.0106488,1864.27,19.8522
628.318,879.137,40.65,0.0102418,0.190926,0.0107022,1864.08,19.9498
628.318,882.137,40.73,0.0102437,0.190944,0.0107676,1863.91,20.0699
628.318,885.137,40.8,0.0102441,0.190945,0.0108281,1863.85,20.1818
628.318,888.137,40.88,0.0102449,0.190958,0.0108737,1863.83,20.2668
628.318,891.137,40.96,0.0102451,0.19096,0.0108132,1863.8,20.1536
628.318,894.137,41.05,0.0102474,0.190981,0.0107186,1863.58,19.975
628.318,897.137,41.13,0.0102495,0.190993,0.0106757,1863.32,19.8923
628.318,900.137,41.22,0.0102526,0.191017,0.0106493,1863,19.8397
628.318,903.137,41.3,0.0102559,0.191043,0.010655,1862.66,19.8467
628.318,906.137,41.39,0.0102587,0.191062,0.0107231,1862.34,19.9701
628.318,909.137,41.48,0.0102613,0.191087,0.0108064,1862.1,20.1226
628.318,912.137,41.58,0.0102633,0.191103,0.0108417,1861.9,20.1862
628.318,915.137,41.67,0.010265,0.191124,0.0108412,1861.79,20.184
628.318,918.137,41.77,0.0102667,0.191135,0.0108032,1861.59,20.1111
628.318,921.137,41.87,0.0102696,0.191161,0.0107713,1861.33,20.049
628.318,924.137,41.97,0.0102716,0.191174,0.01075,1861.08,20.0066
628.318,927.137,42.07,0.0102749,0.191202,0.0107327,1860.77,19.971
628.318,930.137,42.17,0.0102774,0.191221,0.0107142,1860.49,19.9336
628.318,933.137,42.27,0.0102809,0.19125,0.0106668,1860.14,19.8418
628.318,936.137,42.37,0.0102846,0.191272,0.0106685,1859.68,19.84
628.318,939.137,42.48,0.0102886,0.191306,0.0107425,1859.29,19.9735
628.318,942.137,42.58,0.0102907,0.191327,0.0108318,1859.1,20.1375
628.318,945.137,42.68,0.0102922,0.19134,0.0108743,1858.97,20.2149
628.318,948.137,42.77,0.0102939,0.191358,0.010791,1858.84,20.0588
628.318,951.137,42.87,0.0102965,0.191374,0.010681,1858.52,19.8508
628.318,954.137,42.97,0.0103005,0.191404,0.0106881,1858.09,19.8595
628.318,957.137,43.08,0.0103026,0.191418,0.0107757,1857.86,20.0198
628.318,960.137,43.19,0.0103044,0.191439,0.010864,1857.73,20.1823
628.318,963.137,43.3,0.0103047,0.191444,0.0108614,1857.71,20.1774
628.318,966.137,43.43,0.0103068,0.191462,0.0108151,1857.52,20.0892
628.318,969.137,43.55,0.0103084,0.191474,0.0107568,1857.34,19.9791
628.318,972.137,43.68,0.0103104,0.191488,0.0107233,1857.13,19.9146
628.318,975.137,43.8,0.0103122,0.191503,0.010688,1856.95,19.847
628.318,978.137,43.93,0.0103141,0.191518,0.0107101,1856.74,19.8859
628.318,981.137,44.05,0.0103145,0.191525,0.0107974,1856.74,20.048
628.318,984.137,44.18,0.0103162,0.191536,0.0108261,1856.55,20.0992
