Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
62.8318,879.848,40.05,0.0191369,0.341814,0.0100546,1786.07,17.9582
62.8318,882.848,40.08,0.0191373,0.341816,0.0101018,1786.03,18.0421
62.8318,885.848,40.12,0.0191376,0.341812,0.0100887,1785.99,18.0182
62.8318,888.848,40.16,0.0191387,0.341822,0.0100576,1785.93,17.9622
62.8318,891.848,40.21,0.0191395,0.34183,0.0100847,1785.9,18.0102
62.8318,894.848,40.26,0.019141,0.341843,0.0100565,1785.83,17.9592
62.8318,897.848,40.32,0.0191423,0.341851,0.0100577,1785.75,17.9606
62.8318,900.848,40.38,0.0191433,0.341857,0.0100681,1785.69,17.9785
62.8318,903.848,40.44,0.0191447,0.341866,0.0100618,1785.6,17.9663
62.8318,906.848,40.51,0.0191462,0.341879,0.0100256,1785.54,17.9011
62.8318,909.848,40.58,0.0191478,0.341892,0.0100593,1785.45,17.9604
62.8318,912.848,40.66,0.0191499,0.341904,0.0100373,1785.32,17.9197
62.8318,915.848,40.73,0.0191519,0.341922,0.010073,1785.23,17.9826
62.8318,918.848,40.81,0.0191534,0.341929,0.0100448,1785.12,17.9311
62.8318,921.848,40.89,0.0191564,0.341954,0.0100367,1784.97,17.9153
62.8318,924.848,40.97,0.0191583,0.341969,0.01008,1784.88,17.9916
62.8318,927.848,41.05,0.0191614,0.341986,0.0100347,1784.68,17.9086
62.8318,930.849,41.14,0.0191638,0.342009,0.0100483,1784.58,17.9319
62.8318,933.848,41.23,0.0191663,0.342026,0.0100418,1784.43,17.9188
62.8318,936.848,41.31,0.01917,0.342052,0.0100357,1784.21,17.9058
62.8318,939.848,41.4,0.0191726,0.342071,0.0100552,1784.08,17.9393
62.8318,942.848,41.5,0.019176,0.342096,0.0100286,1783.89,17.89
62.8318,945.848,41.59,0.0191793,0.342124,0.0100556,1783.73,17.9364
62.8318,948.848,41.68,0.0191826,0.342149,0.0100465,1783.55,17.9185
62.8318,951.848,41.78,0.0191868,0.342178,0.0100316,1783.32,17.8894
62.8318,954.848,41.88,0.0191896,0.342199,0.0100543,1783.16,17.9284
