Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0005"
"0.1000","0.0001","0.0008"
"0.2000","0.0004","0.0007"
"0.3000","0.0011","0.0009"
"0.4000","0.0011","0.0009"
"0.5000","0.0017","0.0006"
"0.6000","0.0051","0.0007"
"0.7000","0.0084","0.0013"
"0.8000","0.0090","0.0008"
"0.9000","0.0110","0.0008"
"1.0000","0.0131","0.0016"
"1.1000","0.0147","0.0011"
"1.2000","0.0161","0.0014"
"1.3000","0.0177","0.0015"
"1.4000","0.0194","0.0013"
"1.5000","0.0214","0.0014"
"1.6000","0.0230","0.0016"
"1.7000","0.0245","0.0015"
"1.8000","0.0260","0.0013"
"1.9000","0.0277","0.0014"
"2.0000","0.0297","0.0015"
"2.1000","0.0312","0.0012"
"2.2000","0.0327","0.0016"
"2.3000","0.0345","0.0016"
"2.4000","0.0360","0.0017"
"2.5000","0.0379","0.0015"
"2.6000","0.0396","0.0014"
"2.7000","0.0411","0.0020"
"2.8000","0.0429","0.0019"
"2.9000","0.0444","0.0021"
"3.0000","0.0462","0.0019"
"3.1000","0.0478","0.0018"
"3.2000","0.0495","0.0020"
"3.3000","0.0514","0.0022"
"3.4000","0.0528","0.0023"
"3.5000","0.0545","0.0021"
"3.6000","0.0561","0.0021"
"3.7000","0.0579","0.0022"
"3.8000","0.0597","0.0024"
"3.9000","0.0611","0.0022"
"4.0000","0.0628","0.0025"
"4.1000","0.0644","0.0024"
"4.2000","0.0663","0.0028"
"4.3000","0.0682","0.0026"
"4.4000","0.0695","0.0026"
"4.5000","0.0710","0.0023"
"4.6000","0.0727","0.0029"
"4.7000","0.0746","0.0031"
"4.8000","0.0766","0.0033"
"4.9000","0.0778","0.0029"
"5.0000","0.0793","0.0034"
"5.1000","0.0810","0.0035"
"5.2000","0.0829","0.0034"
"5.3000","0.0849","0.0034"
"5.4000","0.0861","0.0036"
"5.5000","0.0875","0.0034"
"5.6000","0.0893","0.0037"
"5.7000","0.0913","0.0036"
"5.8000","0.0933","0.0035"
"5.9000","0.0945","0.0037"
"6.0000","0.0958","0.0036"
"6.1000","0.0977","0.0036"
"6.2000","0.0997","0.0038"
"6.3000","0.1017","0.0038"
"6.4000","0.1028","0.0039"
"6.5000","0.1041","0.0038"
"6.6000","0.1059","0.0039"
"6.7000","0.1081","0.0039"
"6.8000","0.1100","0.0040"
"6.9000","0.1111","0.0043"
"7.0000","0.1125","0.0040"
"7.1000","0.1143","0.0038"
"7.2000","0.1165","0.0044"
"7.3000","0.1184","0.0045"
"7.4000","0.1194","0.0044"
"7.5000","0.1208","0.0044"
"7.6000","0.1227","0.0045"
"7.7000","0.1248","0.0046"
"7.8000","0.1265","0.0043"
"7.9000","0.1278","0.0046"
"8.0000","0.1291","0.0050"
"8.1000","0.1309","0.0048"
"8.2000","0.1331","0.0048"
"8.3000","0.1348","0.0048"
"8.4000","0.1361","0.0050"
"8.5000","0.1375","0.0049"
"8.6000","0.1393","0.0050"
"8.7000","0.1414","0.0051"
"8.8000","0.1433","0.0052"
"8.9000","0.1444","0.0050"
"9.0000","0.1459","0.0052"
"9.1000","0.1476","0.0051"
"9.2000","0.1498","0.0054"
"9.3000","0.1515","0.0051"
"9.4000","0.1528","0.0052"
"9.5000","0.1543","0.0052"
"9.6000","0.1560","0.0052"
"9.7000","0.1580","0.0054"
"9.8000","0.1598","0.0051"
"9.9000","0.1612","0.0053"
"10.0000","0.1627","0.0054"
"10.1000","0.1644","0.0053"
"10.2000","0.1665","0.0053"
"10.3000","0.1680","0.0054"
"10.4000","0.1695","0.0053"
"10.5000","0.1711","0.0051"
"10.6000","0.1726","0.0051"
"10.7000","0.1747","0.0052"
"10.8000","0.1762","0.0052"
"10.9000","0.1778","0.0051"
"11.0000","0.1794","0.0052"
"11.1000","0.1810","0.0050"
"11.2000","0.1829","0.0052"
"11.3000","0.1846","0.0049"
"11.4000","0.1861","0.0054"
"11.5000","0.1879","0.0054"
"11.6000","0.1894","0.0052"
"11.7000","0.1913","0.0054"
"11.8000","0.1929","0.0052"
"11.9000","0.1945","0.0049"
"12.0000","0.1963","0.0051"
"12.1000","0.1977","0.0050"
"12.2000","0.1995","0.0052"
"12.3000","0.2011","0.0049"
"12.4000","0.2029","0.0049"
"12.5000","0.2047","0.0050"
"12.6000","0.2062","0.0050"
"12.7000","0.2078","0.0051"
"12.8000","0.2094","0.0049"
