Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-0.0013","0.0034"
"0.1000","-0.0012","0.0036"
"0.2000","-0.0009","0.0038"
"0.3000","-0.0005","0.0039"
"0.4000","-0.0004","0.0040"
"0.5000","0.0004","0.0037"
"0.6000","0.0054","0.0043"
"0.7000","0.0066","0.0044"
"0.8000","0.0082","0.0046"
"0.9000","0.0101","0.0046"
"1.0000","0.0115","0.0050"
"1.1000","0.0132","0.0048"
"1.2000","0.0149","0.0048"
"1.3000","0.0169","0.0049"
"1.4000","0.0184","0.0051"
"1.5000","0.0198","0.0050"
"1.6000","0.0215","0.0048"
"1.7000","0.0233","0.0053"
"1.8000","0.0253","0.0052"
"1.9000","0.0268","0.0050"
"2.0000","0.0281","0.0049"
"2.1000","0.0296","0.0052"
"2.2000","0.0317","0.0050"
"2.3000","0.0335","0.0052"
"2.4000","0.0351","0.0053"
"2.5000","0.0364","0.0048"
"2.6000","0.0381","0.0048"
"2.7000","0.0398","0.0052"
"2.8000","0.0420","0.0048"
"2.9000","0.0436","0.0051"
"3.0000","0.0447","0.0047"
"3.1000","0.0464","0.0050"
"3.2000","0.0482","0.0050"
"3.3000","0.0503","0.0049"
"3.4000","0.0520","0.0047"
"3.5000","0.0530","0.0049"
"3.6000","0.0546","0.0051"
"3.7000","0.0565","0.0048"
"3.8000","0.0587","0.0048"
"3.9000","0.0603","0.0047"
"4.0000","0.0613","0.0052"
"4.1000","0.0630","0.0053"
"4.2000","0.0649","0.0050"
"4.3000","0.0671","0.0051"
"4.4000","0.0686","0.0052"
"4.5000","0.0697","0.0049"
"4.6000","0.0713","0.0052"
"4.7000","0.0732","0.0050"
"4.8000","0.0754","0.0054"
"4.9000","0.0769","0.0051"
"5.0000","0.0780","0.0053"
"5.1000","0.0796","0.0052"
"5.2000","0.0815","0.0055"
"5.3000","0.0837","0.0052"
"5.4000","0.0853","0.0051"
"5.5000","0.0864","0.0052"
"5.6000","0.0880","0.0054"
"5.7000","0.0897","0.0051"
"5.8000","0.0922","0.0054"
"5.9000","0.0936","0.0049"
"6.0000","0.0948","0.0051"
"6.1000","0.0963","0.0050"
"6.2000","0.0982","0.0048"
"6.3000","0.1003","0.0050"
"6.4000","0.1018","0.0049"
"6.5000","0.1031","0.0050"
"6.6000","0.1046","0.0051"
"6.7000","0.1066","0.0052"
"6.8000","0.1086","0.0051"
"6.9000","0.1101","0.0050"
"7.0000","0.1115","0.0052"
"7.1000","0.1131","0.0049"
"7.2000","0.1149","0.0048"
"7.3000","0.1169","0.0054"
"7.4000","0.1184","0.0049"
"7.5000","0.1199","0.0050"
"7.6000","0.1214","0.0048"
"7.7000","0.1232","0.0052"
"7.8000","0.1252","0.0050"
"7.9000","0.1266","0.0047"
"8.0000","0.1282","0.0051"
"8.1000","0.1298","0.0050"
"8.2000","0.1315","0.0048"
"8.3000","0.1334","0.0050"
"8.4000","0.1349","0.0051"
"8.5000","0.1366","0.0050"
"8.6000","0.1383","0.0051"
"8.7000","0.1399","0.0050"
"8.8000","0.1417","0.0048"
"8.9000","0.1433","0.0054"
"9.0000","0.1450","0.0051"
"9.1000","0.1467","0.0055"
"9.2000","0.1482","0.0053"
"9.3000","0.1499","0.0053"
"9.4000","0.1515","0.0054"
"9.5000","0.1534","0.0053"
"9.6000","0.1551","0.0051"
"9.7000","0.1565","0.0052"
"9.8000","0.1582","0.0051"
"9.9000","0.1599","0.0052"
"10.0000","0.1618","0.0051"
"10.1000","0.1636","0.0051"
"10.2000","0.1648","0.0050"
"10.3000","0.1665","0.0048"
"10.4000","0.1682","0.0049"
"10.5000","0.1702","0.0049"
"10.6000","0.1719","0.0052"
"10.7000","0.1731","0.0049"
"10.8000","0.1747","0.0049"
"10.9000","0.1765","0.0050"
"11.0000","0.1784","0.0051"
"11.1000","0.1803","0.0050"
"11.2000","0.1815","0.0052"
"11.3000","0.1830","0.0052"
"11.4000","0.1848","0.0052"
"11.5000","0.1869","0.0049"
"11.6000","0.1887","0.0048"
"11.7000","0.1898","0.0052"
"11.8000","0.1913","0.0051"
"11.9000","0.1932","0.0048"
"12.0000","0.1953","0.0051"
"12.1000","0.1970","0.0052"
"12.2000","0.1981","0.0047"
"12.3000","0.1996","0.0046"
"12.4000","0.2015","0.0049"
"12.5000","0.2037","0.0048"
"12.6000","0.2053","0.0051"
"12.7000","0.2064","0.0049"
"12.8000","0.2080","0.0048"
"12.9000","0.2098","0.0051"
"13.0000","0.2121","0.0051"
"13.1000","0.2137","0.0051"
"13.2000","0.2147","0.0054"
"13.3000","0.2163","0.0050"
"13.4000","0.2183","0.0051"
"13.5000","0.2203","0.0052"
"13.6000","0.2219","0.0050"
"13.7000","0.2231","0.0052"
"13.8000","0.2245","0.0054"
"13.9000","0.2265","0.0052"
"14.0000","0.2287","0.0052"
"14.1000","0.2302","0.0051"
"14.2000","0.2314","0.0051"
"14.3000","0.2329","0.0053"
"14.4000","0.2348","0.0054"
"14.5000","0.2370","0.0052"
"14.6000","0.2385","0.0052"
"14.7000","0.2398","0.0049"
"14.8000","0.2413","0.0048"
"14.9000","0.2432","0.0051"
"15.0000","0.2453","0.0049"
"15.1000","0.2467","0.0051"
"15.2000","0.2482","0.0049"
"15.3000","0.2497","0.0052"
"15.4000","0.2515","0.0050"
"15.5000","0.2536","0.0052"
"15.6000","0.2552","0.0050"
"15.7000","0.2565","0.0054"
"15.8000","0.2581","0.0054"
"15.9000","0.2600","0.0056"
"16.0000","0.2619","0.0055"
"16.1000","0.2634","0.0053"
"16.2000","0.2650","0.0051"
"16.3000","0.2664","0.0056"
"16.4000","0.2682","0.0055"
"16.5000","0.2702","0.0055"
"16.6000","0.2716","0.0054"
"16.7000","0.2733","0.0054"
"16.8000","0.2748","0.0052"
"16.9000","0.2765","0.0052"
"17.0000","0.2784","0.0057"
"17.1000","0.2800","0.0051"
"17.2000","0.2816","0.0056"
"17.3000","0.2833","0.0057"
"17.4000","0.2849","0.0055"
"17.5000","0.2867","0.0053"
"17.6000","0.2883","0.0056"
"17.7000","0.2900","0.0056"
"17.8000","0.2917","0.0053"
"17.9000","0.2932","0.0056"
"18.0000","0.2949","0.0054"
"18.1000","0.2966","0.0056"
"18.2000","0.2984","0.0057"
"18.3000","0.3001","0.0058"
"18.4000","0.3016","0.0055"
"18.5000","0.3032","0.0057"
"18.6000","0.3049","0.0057"
"18.7000","0.3068","0.0058"
"18.8000","0.3085","0.0055"
"18.9000","0.3099","0.0058"
"19.0000","0.3115","0.0056"
"19.1000","0.3131","0.0057"
"19.2000","0.3152","0.0056"
"19.3000","0.3169","0.0056"
"19.4000","0.3181","0.0060"
"19.5000","0.3198","0.0058"
"19.6000","0.3215","0.0056"
"19.7000","0.3234","0.0055"
"19.8000","0.3253","0.0059"
"19.9000","0.3265","0.0059"
"20.0000","0.3280","0.0058"
"20.1000","0.3298","0.0061"
"20.2000","0.3319","0.0058"
"20.3000","0.3337","0.0058"
"20.4000","0.3348","0.0059"
"20.5000","0.3363","0.0059"
"20.6000","0.3381","0.0058"
"20.7000","0.3403","0.0058"
"20.8000","0.3420","0.0058"
"20.9000","0.3431","0.0062"
"21.0000","0.3446","0.0060"
"21.1000","0.3465","0.0061"
"21.2000","0.3486","0.0063"
"21.3000","0.3504","0.0064"
"21.4000","0.3515","0.0064"
"21.5000","0.3530","0.0061"
"21.6000","0.3548","0.0064"
"21.7000","0.3571","0.0062"
"21.8000","0.3588","0.0064"
"21.9000","0.3598","0.0061"
"22.0000","0.3612","0.0063"
"22.1000","0.3630","0.0063"
"22.2000","0.3653","0.0063"
