Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0477"
"0.1000","0.0008","0.0475"
"0.2000","0.0026","0.0486"
"0.3000","0.0048","0.0491"
"0.4000","0.0066","0.0490"
"0.5000","0.0082","0.0496"
"0.6000","0.0100","0.0498"
"0.7000","0.0118","0.0501"
"0.8000","0.0133","0.0509"
"0.9000","0.0150","0.0517"
"1.0000","0.0170","0.0529"
"1.1000","0.0185","0.0540"
"1.2000","0.0200","0.0550"
"1.3000","0.0217","0.0548"
"1.4000","0.0235","0.0550"
"1.5000","0.0250","0.0552"
"1.6000","0.0267","0.0555"
"1.7000","0.0286","0.0565"
"1.8000","0.0302","0.0566"
"1.9000","0.0317","0.0574"
"2.0000","0.0335","0.0591"
"2.1000","0.0352","0.0603"
"2.2000","0.0367","0.0623"
"2.3000","0.0383","0.0642"
"2.4000","0.0402","0.0673"
"2.5000","0.0419","0.0702"
"2.6000","0.0434","0.0726"
"2.7000","0.0451","0.0752"
"2.8000","0.0469","0.0789"
"2.9000","0.0484","0.0820"
"3.0000","0.0499","0.0853"
"3.1000","0.0519","0.0891"
"3.2000","0.0535","0.0926"
"3.3000","0.0550","0.0960"
"3.4000","0.0567","0.0994"
"3.5000","0.0586","0.1035"
"3.6000","0.0602","0.1068"
"3.7000","0.0617","0.1095"
"3.8000","0.0635","0.1127"
"3.9000","0.0652","0.1162"
"4.0000","0.0667","0.1188"
"4.1000","0.0683","0.1221"
"4.2000","0.0703","0.1267"
"4.3000","0.0718","0.1306"
"4.4000","0.0733","0.1347"
"4.5000","0.0752","0.1397"
"4.6000","0.0768","0.1453"
"4.7000","0.0783","0.1505"
"4.8000","0.0800","0.1564"
"4.9000","0.0819","0.1628"
"5.0000","0.0835","0.1693"
"5.1000","0.0850","0.1744"
"5.2000","0.0868","0.1807"
"5.3000","0.0886","0.1881"
"5.4000","0.0901","0.1937"
"5.5000","0.0916","0.1994"
"5.6000","0.0935","0.2065"
"5.7000","0.0952","0.2130"
"5.8000","0.0967","0.2183"
"5.9000","0.0984","0.2249"
"6.0000","0.1003","0.2314"
"6.1000","0.1017","0.2372"
"6.2000","0.1034","0.2424"
"6.3000","0.1052","0.2489"
"6.4000","0.1069","0.2549"
"6.5000","0.1084","0.2596"
"6.6000","0.1100","0.2651"
"6.7000","0.1119","0.2718"
"6.8000","0.1134","0.2771"
"6.9000","0.1150","0.2825"
